frame,time_s,x,y,w,h,cx,cy
0,0.0000,234.2,244.3,315.0,60.0,391.7,274.3
1,0.0339,240.9,245.2,303.0,58.0,392.4,274.2
2,0.0679,241.5,244.9,303.0,58.0,393.0,273.9
3,0.1018,238.9,244.3,309.0,59.0,393.4,273.8
4,0.1357,245.1,245.0,297.0,57.0,393.6,273.5
5,0.1696,245.4,244.8,297.0,57.0,393.9,273.3
6,0.2036,248.7,245.1,291.0,56.0,394.2,273.1
7,0.2375,242.1,243.9,303.0,58.0,393.6,272.9
8,0.2714,241.8,243.8,303.0,58.0,393.3,272.8
9,0.3054,229.4,241.2,327.0,63.0,392.9,272.7
10,0.3393,231.7,241.8,321.0,62.0,392.2,272.8
11,0.3732,237.4,243.4,309.0,59.0,391.9,272.9
12,0.4071,236.9,243.4,309.0,59.0,391.4,272.9
13,0.4411,233.1,243.1,315.0,60.0,390.6,273.1
14,0.4750,241.7,244.8,297.0,57.0,390.2,273.3
15,0.5089,232.0,243.4,315.0,60.0,389.5,273.4
16,0.5429,237.2,244.3,303.0,58.0,388.7,273.3
17,0.5768,239.4,244.9,297.0,57.0,387.9,273.4
18,0.6107,235.5,244.4,303.0,58.0,387.0,273.4
19,0.6446,235.0,244.5,303.0,58.0,386.5,273.5
20,0.6786,237.1,245.3,297.0,57.0,385.6,273.8
21,0.7125,236.3,245.6,297.0,57.0,384.8,274.1
22,0.7464,241.4,246.8,285.0,55.0,383.9,274.3
23,0.7803,240.6,247.1,285.0,55.0,383.1,274.6
24,0.8143,239.3,247.5,285.0,55.0,381.8,275.0
25,0.8482,246.4,249.8,269.0,51.0,380.9,275.3
26,0.8821,251.3,251.1,258.0,49.0,380.3,275.6
27,0.9161,244.8,250.4,269.0,51.0,379.3,275.9
28,0.9500,247.1,251.3,263.0,50.0,378.6,276.3
29,0.9839,249.1,252.2,258.0,49.0,378.1,276.7
30,1.0178,243.4,251.4,269.0,51.0,377.9,276.9
31,1.0518,246.4,252.1,263.0,50.0,377.9,277.1
32,1.0857,246.5,252.3,263.0,50.0,378.0,277.3
33,1.1196,243.8,251.8,269.0,51.0,378.3,277.3
34,1.1536,239.1,250.4,279.0,54.0,378.6,277.4
35,1.1875,239.6,250.4,279.0,54.0,379.1,277.4
36,1.2214,239.9,250.4,279.0,54.0,379.4,277.4
37,1.2553,237.4,249.9,285.0,55.0,379.9,277.4
38,1.2893,240.8,250.3,279.0,54.0,380.3,277.3
39,1.3232,241.1,250.2,279.0,54.0,380.6,277.2
40,1.3571,241.8,250.1,279.0,54.0,381.3,277.1
41,1.3911,242.4,250.0,279.0,54.0,381.9,277.0
42,1.4250,243.0,249.8,279.0,54.0,382.5,276.8
43,1.4589,243.8,249.7,279.0,54.0,383.3,276.7
44,1.4928,244.4,249.5,279.0,54.0,383.9,276.5
45,1.5268,245.2,249.3,279.0,54.0,384.7,276.3
46,1.5607,243.0,248.5,285.0,55.0,385.5,276.0
47,1.5946,243.6,248.1,285.0,55.0,386.1,275.6
48,1.6286,247.0,248.2,279.0,54.0,386.5,275.2
49,1.6625,244.2,247.3,285.0,55.0,386.7,274.8
50,1.6964,244.6,246.9,285.0,55.0,387.1,274.4
51,1.7303,244.8,246.4,285.0,55.0,387.3,273.9
52,1.7643,247.7,246.5,279.0,54.0,387.2,273.5
53,1.7982,241.4,245.1,291.0,56.0,386.9,273.1
54,1.8321,237.9,244.1,297.0,57.0,386.4,272.6
55,1.8661,231.7,242.4,309.0,59.0,386.2,271.9
56,1.9000,228.6,241.2,315.0,60.0,386.1,271.2
57,1.9339,234.6,241.6,303.0,58.0,386.1,270.6
58,1.9678,228.5,240.2,315.0,60.0,386.0,270.2
59,2.0018,228.3,239.9,315.0,60.0,385.8,269.9
60,2.0357,222.0,238.2,327.0,63.0,385.5,269.7
61,2.0696,227.6,239.5,315.0,60.0,385.1,269.5
62,2.1035,227.4,239.4,315.0,60.0,384.9,269.4
63,2.1375,224.3,238.3,321.0,62.0,384.8,269.3
64,2.1714,221.2,237.7,327.0,63.0,384.7,269.2
65,2.2053,221.3,237.6,327.0,63.0,384.8,269.1
66,2.2393,224.4,238.0,321.0,62.0,384.9,269.0
67,2.2732,224.6,238.0,321.0,62.0,385.1,269.0
68,2.3071,224.9,238.0,321.0,62.0,385.4,269.0
69,2.3410,222.5,237.4,327.0,63.0,386.0,268.9
70,2.3750,225.9,237.8,321.0,62.0,386.4,268.8
71,2.4089,223.6,237.3,327.0,63.0,387.1,268.8
72,2.4428,217.5,236.2,341.0,65.0,388.0,268.7
73,2.4768,218.5,236.1,341.0,65.0,389.0,268.6
74,2.5107,222.9,236.5,334.0,64.0,389.9,268.5
75,2.5446,230.2,237.5,321.0,62.0,390.7,268.5
76,2.5785,228.0,237.0,327.0,63.0,391.5,268.5
77,2.6125,225.3,236.4,334.0,64.0,392.3,268.4
78,2.6464,226.3,236.3,334.0,64.0,393.3,268.3
79,2.6803,230.7,236.8,327.0,63.0,394.2,268.3
80,2.7143,234.5,237.4,321.0,62.0,395.0,268.4
81,2.7482,235.3,237.4,321.0,62.0,395.8,268.4
82,2.7821,233.2,237.0,327.0,63.0,396.7,268.5
83,2.8160,240.1,238.5,315.0,60.0,397.6,268.5
84,2.8500,240.8,238.7,315.0,60.0,398.3,268.7
85,2.8839,241.5,238.9,315.0,60.0,399.0,268.9
86,2.9178,242.3,239.2,315.0,60.0,399.8,269.2
87,2.9518,246.1,240.0,309.0,59.0,400.6,269.5
88,2.9857,243.8,239.9,315.0,60.0,401.3,269.9
89,3.0196,247.5,241.0,309.0,59.0,402.0,270.5
90,3.0535,251.3,242.1,303.0,58.0,402.8,271.1
91,3.0875,252.1,242.7,303.0,58.0,403.6,271.7
92,3.1214,246.8,242.4,315.0,60.0,404.3,272.4
93,3.1553,244.7,242.0,321.0,62.0,405.2,273.0
94,3.1893,245.6,242.6,321.0,62.0,406.1,273.6
95,3.2232,243.4,242.7,327.0,63.0,406.9,274.2
96,3.2571,240.6,242.8,334.0,64.0,407.6,274.8
97,3.2910,241.3,243.4,334.0,64.0,408.3,275.4
98,3.3250,245.4,244.5,327.0,63.0,408.9,276.0
99,3.3589,239.0,244.0,341.0,65.0,409.5,276.5
100,3.3928,246.6,245.5,327.0,63.0,410.1,277.0
101,3.4267,243.7,245.6,334.0,64.0,410.7,277.6
102,3.4607,244.3,246.1,334.0,64.0,411.3,278.1
103,3.4946,244.9,246.6,334.0,64.0,411.9,278.6
104,3.5285,245.5,247.1,334.0,64.0,412.5,279.1
105,3.5625,246.0,247.6,334.0,64.0,413.0,279.6
106,3.5964,246.5,248.1,334.0,64.0,413.5,280.1
107,3.6303,247.0,248.7,334.0,64.0,414.0,280.7
108,3.6642,247.5,249.2,334.0,64.0,414.5,281.2
109,3.6982,248.0,249.6,334.0,64.0,415.0,281.6
110,3.7321,248.4,250.2,334.0,64.0,415.4,282.2
111,3.7660,252.3,251.2,327.0,63.0,415.8,282.7
112,3.8000,252.8,251.7,327.0,63.0,416.3,283.2
113,3.8339,253.2,252.2,327.0,63.0,416.7,283.7
114,3.8678,253.5,252.8,327.0,63.0,417.0,284.3
115,3.9017,253.9,253.4,327.0,63.0,417.4,284.9
116,3.9357,254.3,254.1,327.0,63.0,417.8,285.6
117,3.9696,247.7,253.8,341.0,65.0,418.2,286.3
118,4.0035,248.2,254.8,341.0,65.0,418.7,287.3
