frame,time_s,x,y,w,h,cx,cy
0,0.0000,145.0,108.0,99.0,85.0,194.5,150.5
1,0.0400,143.8,106.8,99.0,85.0,193.3,149.3
2,0.0800,142.4,105.4,99.0,85.0,191.9,147.9
3,0.1200,140.9,103.9,99.0,85.0,190.4,146.4
4,0.1600,139.5,102.5,99.0,85.0,189.0,145.0
5,0.2000,137.9,100.9,99.0,85.0,187.4,143.4
6,0.2400,136.1,99.1,99.0,85.0,185.6,141.6
7,0.2800,134.3,97.3,99.0,85.0,183.8,139.8
8,0.3200,132.3,95.3,99.0,85.0,181.8,137.8
9,0.3600,130.0,93.0,99.0,85.0,179.5,135.5
10,0.4000,127.5,90.5,99.0,85.0,177.0,133.0
11,0.4400,124.8,87.8,99.0,85.0,174.3,130.3
12,0.4800,122.1,85.0,99.0,85.0,171.6,127.5
13,0.5200,118.5,81.6,99.0,85.0,168.0,124.1
14,0.5600,114.0,77.6,99.0,85.0,163.5,120.1
15,0.6000,107.8,72.3,103.0,88.0,159.3,116.3
16,0.6400,104.0,68.7,103.0,88.0,155.5,112.7
17,0.6800,99.6,64.3,105.0,90.0,152.1,109.3
18,0.7200,96.7,61.2,105.0,90.0,149.2,106.2
19,0.7600,95.1,59.3,103.0,88.0,146.6,103.3
20,0.8000,91.9,55.5,105.0,90.0,144.4,100.5
21,0.8400,89.9,52.9,105.0,90.0,142.4,97.9
22,0.8800,89.3,51.6,103.0,88.0,140.8,95.6
23,0.9200,88.8,49.8,101.0,87.0,139.3,93.3
24,0.9600,87.7,47.6,101.0,87.0,138.2,91.1
25,1.0000,85.8,44.8,103.0,88.0,137.3,88.8
26,1.0400,85.1,42.7,103.0,88.0,136.6,86.7
27,1.0800,84.4,40.5,103.0,88.0,135.9,84.5
28,1.1200,83.9,38.6,103.0,88.0,135.4,82.6
29,1.1600,84.5,37.2,101.0,87.0,135.0,80.7
30,1.2000,85.2,36.3,99.0,85.0,134.7,78.8
31,1.2400,85.1,34.5,99.0,85.0,134.6,77.0
32,1.2800,86.0,33.7,97.0,83.0,134.5,75.2
33,1.3200,86.0,31.7,97.0,83.0,134.5,73.2
34,1.3600,87.1,30.4,95.0,82.0,134.6,71.4
35,1.4000,85.4,27.2,99.0,85.0,134.9,69.7
36,1.4400,87.6,26.8,95.0,82.0,135.1,67.8
37,1.4800,87.1,24.4,97.0,83.0,135.6,65.9
38,1.5200,88.5,23.2,95.0,82.0,136.0,64.2
39,1.5600,89.1,21.4,95.0,82.0,136.6,62.4
40,1.6000,89.8,19.7,95.0,82.0,137.3,60.7
41,1.6400,90.5,18.0,95.0,82.0,138.0,59.0
42,1.6800,90.4,15.7,97.0,83.0,138.9,57.2
43,1.7200,92.3,14.5,95.0,82.0,139.8,55.5
44,1.7600,93.3,12.7,95.0,82.0,140.8,53.7
45,1.8000,95.2,12.0,93.0,80.0,141.7,52.0
46,1.8400,95.3,9.1,95.0,82.0,142.8,50.1
47,1.8800,96.5,7.3,95.0,82.0,144.0,48.3
48,1.9200,96.7,4.8,97.0,83.0,145.2,46.3
49,1.9600,99.9,4.4,93.0,80.0,146.4,44.4
50,2.0000,100.3,1.5,95.0,82.0,147.8,42.5
51,2.0400,102.6,0.6,93.0,80.0,149.1,40.6
52,2.0800,103.1,-2.3,95.0,82.0,150.6,38.7
53,2.1200,105.6,-3.1,93.0,80.0,152.1,36.9
54,2.1600,106.2,-6.0,95.0,82.0,153.7,35.0
55,2.2000,107.7,-7.8,95.0,82.0,155.2,33.2
56,2.2400,110.3,-8.6,93.0,80.0,156.8,31.4
57,2.2800,111.1,-11.3,95.0,82.0,158.6,29.7
58,2.3200,111.1,-14.7,99.0,85.0,160.6,27.8
59,2.3600,114.0,-15.5,97.0,83.0,162.5,26.0
60,2.4000,116.1,-17.3,97.0,83.0,164.6,24.2
61,2.4400,120.2,-17.7,93.0,80.0,166.7,22.3
62,2.4800,122.5,-19.4,93.0,80.0,169.0,20.6
63,2.5200,125.8,-20.8,91.0,79.0,171.3,18.7
64,2.5600,127.2,-23.1,93.0,80.0,173.7,16.9
65,2.6000,129.7,-24.9,93.0,80.0,176.2,15.1
66,2.6400,130.4,-28.1,97.0,83.0,178.9,13.4
67,2.6800,135.1,-28.4,93.0,80.0,181.6,11.6
68,2.7200,137.9,-30.1,93.0,80.0,184.4,9.9
69,2.7600,138.6,-33.4,97.0,83.0,187.1,8.1
70,2.8000,141.6,-35.1,97.0,83.0,190.1,6.4
71,2.8400,144.6,-36.9,97.0,83.0,193.1,4.6
72,2.8800,148.6,-38.2,95.0,82.0,196.1,2.8
73,2.9200,150.7,-40.5,97.0,83.0,199.2,1.0
74,2.9600,155.8,-40.8,93.0,80.0,202.3,-0.8
75,3.0000,157.0,-44.1,97.0,83.0,205.5,-2.6
76,3.0400,161.3,-45.3,95.0,82.0,208.8,-4.3
77,3.0800,164.7,-46.9,95.0,82.0,212.2,-5.9
78,3.1200,168.3,-48.4,95.0,82.0,215.8,-7.4
79,3.1600,170.9,-50.3,97.0,83.0,219.4,-8.8
80,3.2000,173.7,-52.6,99.0,85.0,223.2,-10.1
81,3.2400,178.5,-53.0,97.0,83.0,227.0,-11.5
82,3.2800,182.3,-54.2,97.0,83.0,230.8,-12.7
83,3.3200,184.9,-54.3,97.0,83.0,233.4,-12.8
84,3.3600,186.6,-55.4,99.0,85.0,236.1,-12.9
85,3.4000,188.5,-56.5,101.0,87.0,239.0,-13.0
86,3.4400,191.5,-56.7,101.0,87.0,242.0,-13.2
87,3.4800,194.6,-57.0,101.0,87.0,245.1,-13.5
88,3.5200,198.6,-56.3,99.0,85.0,248.1,-13.8
89,3.5600,200.9,-57.6,101.0,87.0,251.4,-14.1
90,3.6000,204.2,-58.0,101.0,87.0,254.7,-14.5
91,3.6400,207.6,-58.5,101.0,87.0,258.1,-15.0
92,3.6800,212.0,-57.9,99.0,85.0,261.5,-15.4
93,3.7200,215.5,-58.5,99.0,85.0,265.0,-16.0
94,3.7600,220.1,-58.1,97.0,83.0,268.6,-16.6
95,3.8000,222.6,-59.6,99.0,85.0,272.1,-17.1
96,3.8400,225.2,-61.2,101.0,87.0,275.7,-17.7
97,3.8800,229.8,-60.7,99.0,85.0,279.3,-18.2
98,3.9200,233.6,-61.4,99.0,85.0,283.1,-18.9
99,3.9600,237.5,-62.0,99.0,85.0,287.0,-19.5
100,4.0000,241.5,-62.6,99.0,85.0,291.0,-20.1
101,4.0400,242.6,-62.6,99.0,85.0,292.1,-20.1
102,4.0800,243.6,-62.6,99.0,85.0,293.1,-20.1
103,4.1200,244.6,-62.6,99.0,85.0,294.1,-20.1
104,4.1600,245.6,-62.5,99.0,85.0,295.1,-20.0
105,4.2000,246.6,-62.5,99.0,85.0,296.1,-20.0
106,4.2400,247.5,-62.5,99.0,85.0,297.0,-20.0
107,4.2800,248.3,-62.4,99.0,85.0,297.8,-19.9
108,4.3200,249.2,-62.4,99.0,85.0,298.7,-19.9
109,4.3600,250.0,-62.4,99.0,85.0,299.5,-19.9
110,4.4000,250.7,-62.3,99.0,85.0,300.2,-19.8
111,4.4400,251.5,-62.2,99.0,85.0,301.0,-19.7
112,4.4800,252.2,-62.2,99.0,85.0,301.7,-19.7
113,4.5200,252.9,-62.1,99.0,85.0,302.4,-19.6
114,4.5600,254.5,-61.0,97.0,83.0,303.0,-19.5
115,4.6000,255.1,-61.0,97.0,83.0,303.6,-19.5
116,4.6400,254.7,-61.9,99.0,85.0,304.2,-19.4
117,4.6800,256.2,-60.9,97.0,83.0,304.7,-19.4
118,4.7200,256.7,-60.8,97.0,83.0,305.2,-19.3
119,4.7600,257.2,-60.7,97.0,83.0,305.7,-19.2
120,4.8000,257.7,-60.6,97.0,83.0,306.2,-19.1
121,4.8400,258.2,-60.6,97.0,83.0,306.7,-19.1
122,4.8800,258.6,-60.5,97.0,83.0,307.1,-19.0
123,4.9200,259.0,-60.5,97.0,83.0,307.5,-19.0
124,4.9600,259.4,-60.4,97.0,83.0,307.9,-18.9
