frame,time_s,x,y,w,h,cx,cy
0,0.0000,275.0,188.2,94.0,69.0,322.0,222.7
1,0.0339,275.0,188.1,94.0,69.0,322.0,222.6
2,0.0679,275.0,188.1,94.0,69.0,322.0,222.6
3,0.1018,274.2,187.3,96.0,71.0,322.2,222.8
4,0.1357,277.2,189.4,91.0,67.0,322.7,222.9
5,0.1696,275.9,188.2,94.0,69.0,322.9,222.7
6,0.2036,275.1,187.0,96.0,71.0,323.1,222.5
7,0.2375,276.3,187.8,94.0,69.0,323.3,222.3
8,0.2714,276.3,187.7,94.0,69.0,323.3,222.2
9,0.3054,276.1,187.6,94.0,69.0,323.1,222.1
10,0.3393,274.8,186.6,96.0,71.0,322.8,222.1
11,0.3732,273.6,186.2,98.0,72.0,322.6,222.2
12,0.4071,272.1,185.9,100.0,73.0,322.1,222.4
13,0.4411,271.5,185.9,100.0,73.0,321.5,222.4
14,0.4750,270.8,185.9,100.0,73.0,320.8,222.4
15,0.5089,271.1,186.5,98.0,72.0,320.1,222.5
16,0.5429,270.4,186.5,98.0,72.0,319.4,222.5
17,0.5768,268.6,186.2,100.0,73.0,318.6,222.7
18,0.6107,269.0,186.9,98.0,72.0,318.0,222.9
19,0.6446,268.7,187.0,98.0,72.0,317.7,223.0
20,0.6786,268.2,187.3,98.0,72.0,317.2,223.3
21,0.7125,267.7,187.7,98.0,72.0,316.7,223.7
22,0.7464,267.2,188.1,98.0,72.0,316.2,224.1
23,0.7803,266.8,188.4,98.0,72.0,315.8,224.4
24,0.8143,265.3,188.2,100.0,73.0,315.3,224.7
25,0.8482,264.7,188.5,100.0,73.0,314.7,225.0
26,0.8821,266.2,189.9,96.0,71.0,314.2,225.4
27,0.9161,265.8,190.4,96.0,71.0,313.8,225.9
28,0.9500,266.4,191.9,94.0,69.0,313.4,226.4
29,0.9839,265.9,192.1,94.0,69.0,312.9,226.6
30,1.0178,264.7,191.4,96.0,71.0,312.7,226.9
31,1.0518,263.6,191.2,98.0,72.0,312.6,227.2
32,1.0857,263.6,191.3,98.0,72.0,312.6,227.3
33,1.1196,263.5,191.3,98.0,72.0,312.5,227.3
34,1.1536,264.8,191.8,96.0,71.0,312.8,227.3
35,1.1875,264.1,191.1,98.0,72.0,313.1,227.1
36,1.2214,264.4,191.0,98.0,72.0,313.4,227.0
37,1.2553,264.7,190.7,98.0,72.0,313.7,226.7
38,1.2893,266.0,191.0,96.0,71.0,314.0,226.5
39,1.3232,266.4,190.7,96.0,71.0,314.4,226.2
40,1.3571,266.9,190.5,96.0,71.0,314.9,226.0
41,1.3911,267.4,190.2,96.0,71.0,315.4,225.7
42,1.4250,266.9,189.4,98.0,72.0,315.9,225.4
43,1.4589,268.5,189.6,96.0,71.0,316.5,225.1
44,1.4928,270.1,190.3,94.0,69.0,317.1,224.8
45,1.5268,272.3,190.8,91.0,67.0,317.8,224.3
46,1.5607,273.0,190.2,91.0,67.0,318.5,223.7
47,1.5946,273.5,189.6,91.0,67.0,319.0,223.1
48,1.6286,273.1,188.4,92.0,68.0,319.1,222.4
49,1.6625,273.8,188.2,91.0,67.0,319.3,221.7
50,1.6964,273.4,186.9,92.0,68.0,319.4,220.9
51,1.7303,274.2,186.7,91.0,67.0,319.7,220.2
52,1.7643,274.1,186.0,91.0,67.0,319.6,219.5
53,1.7982,273.1,184.8,92.0,68.0,319.1,218.8
54,1.8321,272.4,184.0,92.0,68.0,318.4,218.0
55,1.8661,271.9,183.1,92.0,68.0,317.9,217.1
56,1.9000,272.1,182.7,91.0,67.0,317.6,216.2
57,1.9339,271.6,181.4,92.0,68.0,317.6,215.4
58,1.9678,271.6,180.8,92.0,68.0,317.6,214.8
59,2.0018,270.3,179.8,94.0,69.0,317.3,214.3
60,2.0357,269.9,179.3,94.0,69.0,316.9,213.8
61,2.0696,268.5,178.0,96.0,71.0,316.5,213.5
62,2.1035,269.3,178.7,94.0,69.0,316.3,213.2
63,2.1375,268.1,177.3,96.0,71.0,316.1,212.8
64,2.1714,267.1,176.5,98.0,72.0,316.1,212.5
65,2.2053,267.1,176.3,98.0,72.0,316.1,212.3
66,2.2393,266.2,175.6,100.0,73.0,316.2,212.1
67,2.2732,267.3,175.9,98.0,72.0,316.3,211.9
68,2.3071,267.5,175.7,98.0,72.0,316.5,211.7
69,2.3410,268.9,175.9,96.0,71.0,316.9,211.4
70,2.3750,269.4,175.6,96.0,71.0,317.4,211.1
71,2.4089,269.9,175.4,96.0,71.0,317.9,210.9
72,2.4428,270.7,175.0,96.0,71.0,318.7,210.5
73,2.4768,271.5,174.7,96.0,71.0,319.5,210.2
74,2.5107,272.2,174.4,96.0,71.0,320.2,209.9
75,2.5446,272.9,174.1,96.0,71.0,320.9,209.6
76,2.5785,273.6,173.8,96.0,71.0,321.6,209.3
77,2.6125,275.3,174.6,94.0,69.0,322.3,209.1
78,2.6464,276.9,174.7,92.0,68.0,322.9,208.7
79,2.6803,277.7,174.4,92.0,68.0,323.7,208.4
80,2.7143,277.3,173.6,94.0,69.0,324.3,208.1
81,2.7482,279.0,173.9,92.0,68.0,325.0,207.9
82,2.7821,279.7,173.6,92.0,68.0,325.7,207.6
83,2.8160,281.0,173.8,91.0,67.0,326.5,207.3
84,2.8500,281.8,173.7,91.0,67.0,327.3,207.2
85,2.8839,282.4,173.5,91.0,67.0,327.9,207.0
86,2.9178,283.1,173.3,91.0,67.0,328.6,206.8
87,2.9518,284.0,173.2,91.0,67.0,329.5,206.7
88,2.9857,284.9,173.0,91.0,67.0,330.4,206.5
89,3.0196,285.2,172.6,92.0,68.0,331.2,206.6
90,3.0535,286.0,172.6,92.0,68.0,332.0,206.6
91,3.0875,286.8,172.7,92.0,68.0,332.8,206.7
92,3.1214,287.5,172.8,92.0,68.0,333.5,206.8
93,3.1553,288.2,172.9,92.0,68.0,334.2,206.9
94,3.1893,288.9,173.0,92.0,68.0,334.9,207.0
95,3.2232,289.6,173.1,92.0,68.0,335.6,207.1
96,3.2571,289.1,172.6,94.0,69.0,336.1,207.1
97,3.2910,290.6,173.1,92.0,68.0,336.6,207.1
98,3.3250,291.1,173.1,92.0,68.0,337.1,207.1
99,3.3589,291.5,173.1,92.0,68.0,337.5,207.1
100,3.3928,292.0,173.0,92.0,68.0,338.0,207.0
101,3.4267,292.4,172.9,92.0,68.0,338.4,206.9
102,3.4607,292.8,172.8,92.0,68.0,338.8,206.8
103,3.4946,292.3,172.2,94.0,69.0,339.3,206.7
104,3.5285,292.8,172.1,94.0,69.0,339.8,206.6
105,3.5625,293.2,172.0,94.0,69.0,340.2,206.5
106,3.5964,293.7,171.9,94.0,69.0,340.7,206.4
107,3.6303,294.0,171.8,94.0,69.0,341.0,206.3
108,3.6642,294.5,171.7,94.0,69.0,341.5,206.2
