frame,time_s,x,y,w,h,cx,cy
0,0.0000,350.0,459.0,156.0,103.0,428.0,510.5
1,0.0338,351.3,459.6,153.0,101.0,427.8,510.1
2,0.0676,352.3,460.1,150.0,99.0,427.3,509.6
3,0.1013,355.0,461.6,144.0,95.0,427.0,509.1
4,0.1351,356.2,462.1,141.0,93.0,426.7,508.6
5,0.1689,354.4,460.7,144.0,95.0,426.4,508.2
6,0.2027,351.5,458.4,150.0,99.0,426.5,507.9
7,0.2364,351.5,458.0,150.0,99.0,426.5,507.5
8,0.2702,351.6,457.7,150.0,99.0,426.6,507.2
9,0.3040,347.2,454.4,159.0,105.0,426.7,506.9
10,0.3378,345.9,453.1,162.0,107.0,426.9,506.6
11,0.3715,346.1,452.9,162.0,107.0,427.1,506.4
12,0.4053,348.0,453.5,159.0,105.0,427.5,506.0
13,0.4391,346.9,452.0,162.0,107.0,427.9,505.5
14,0.4729,345.2,450.6,166.0,109.0,428.2,505.1
15,0.5066,345.7,450.3,166.0,109.0,428.7,504.8
16,0.5404,346.2,449.9,166.0,109.0,429.2,504.4
17,0.5742,345.2,448.6,169.0,111.0,429.7,504.1
18,0.6080,342.1,445.8,176.0,116.0,430.1,503.8
19,0.6418,341.2,444.1,179.0,118.0,430.7,503.1
20,0.6755,343.3,444.5,176.0,116.0,431.3,502.5
21,0.7093,343.9,443.8,176.0,116.0,431.9,501.8
22,0.7431,344.4,443.2,176.0,116.0,432.4,501.2
23,0.7769,344.9,442.6,176.0,116.0,432.9,500.6
24,0.8106,342.0,439.6,183.0,121.0,433.5,500.1
25,0.8444,341.2,438.1,186.0,123.0,434.2,499.6
26,0.8782,339.9,436.1,190.0,126.0,434.9,499.1
27,0.9120,338.7,434.5,194.0,128.0,435.7,498.5
28,0.9457,339.4,433.9,194.0,128.0,436.4,497.9
29,0.9795,338.0,431.8,198.0,131.0,437.0,497.3
30,1.0133,338.7,431.3,198.0,131.0,437.7,496.8
31,1.0471,339.3,430.9,198.0,131.0,438.3,496.4
32,1.0808,338.0,429.5,202.0,133.0,439.0,496.0
33,1.1146,338.7,428.9,202.0,133.0,439.7,495.4
34,1.1484,337.5,426.9,206.0,136.0,440.5,494.9
35,1.1822,338.0,426.5,206.0,136.0,441.0,494.5
36,1.2160,338.4,426.1,206.0,136.0,441.4,494.1
37,1.2497,338.7,425.7,206.0,136.0,441.7,493.7
38,1.2835,336.6,423.8,210.0,139.0,441.6,493.3
39,1.3173,334.2,422.4,214.0,141.0,441.2,492.9
40,1.3511,335.7,423.1,210.0,139.0,440.7,492.6
41,1.3848,333.0,421.9,214.0,141.0,440.0,492.4
42,1.4186,332.2,421.7,214.0,141.0,439.2,492.2
43,1.4524,329.3,420.0,218.0,144.0,438.3,492.0
44,1.4862,328.3,419.8,218.0,144.0,437.3,491.8
45,1.5199,327.4,419.7,218.0,144.0,436.4,491.7
46,1.5537,328.3,421.2,214.0,141.0,435.3,491.7
47,1.5875,329.2,422.3,210.0,139.0,434.2,491.8
48,1.6213,326.0,421.6,214.0,141.0,433.0,492.1
49,1.6550,324.7,422.0,214.0,141.0,431.7,492.5
50,1.6888,323.5,422.4,214.0,141.0,430.5,492.9
51,1.7226,322.3,422.9,214.0,141.0,429.3,493.4
52,1.7564,321.1,423.5,214.0,141.0,428.1,494.0
53,1.7902,320.0,424.1,214.0,141.0,427.0,494.6
54,1.8239,319.0,424.8,214.0,141.0,426.0,495.3
55,1.8577,318.0,425.6,214.0,141.0,425.0,496.1
56,1.8915,317.0,426.4,214.0,141.0,424.0,496.9
57,1.9253,318.0,428.3,210.0,139.0,423.0,497.8
58,1.9590,317.0,429.2,210.0,139.0,422.0,498.7
59,1.9928,316.1,430.1,210.0,139.0,421.1,499.6
60,2.0266,317.2,432.4,206.0,136.0,420.2,500.4
61,2.0604,316.4,433.3,206.0,136.0,419.4,501.3
62,2.0941,313.7,432.7,210.0,139.0,418.7,502.2
63,2.1279,312.9,433.6,210.0,139.0,417.9,503.1
64,2.1617,314.1,436.0,206.0,136.0,417.1,504.0
65,2.1955,315.4,438.2,202.0,133.0,416.4,504.7
66,2.2292,314.7,439.0,202.0,133.0,415.7,505.5
67,2.2630,314.0,439.7,202.0,133.0,415.0,506.2
68,2.2968,315.5,441.4,198.0,131.0,414.5,506.9
69,2.3306,314.8,442.1,198.0,131.0,413.8,507.6
70,2.3644,314.2,442.8,198.0,131.0,413.2,508.3
71,2.3981,313.6,443.3,198.0,131.0,412.6,508.8
72,2.4319,315.1,445.3,194.0,128.0,412.1,509.3
73,2.4657,316.6,446.7,190.0,126.0,411.6,509.7
74,2.4995,318.1,448.5,186.0,123.0,411.1,510.0
75,2.5332,319.2,449.8,183.0,121.0,410.7,510.3
76,2.5670,318.7,450.1,183.0,121.0,410.2,510.6
77,2.6008,316.8,449.4,186.0,123.0,409.8,510.9
78,2.6346,316.5,449.7,186.0,123.0,409.5,511.2
79,2.6683,314.2,448.5,190.0,126.0,409.2,511.5
80,2.7021,313.9,448.7,190.0,126.0,408.9,511.7
81,2.7359,313.6,448.9,190.0,126.0,408.6,511.9
82,2.7697,315.3,450.6,186.0,123.0,408.3,512.1
83,2.8034,315.1,450.9,186.0,123.0,408.1,512.4
84,2.8372,314.9,451.1,186.0,123.0,407.9,512.6
85,2.8710,312.8,449.9,190.0,126.0,407.8,512.9
86,2.9048,312.7,450.2,190.0,126.0,407.7,513.2
87,2.9385,312.5,450.5,190.0,126.0,407.5,513.5
88,2.9723,312.4,450.8,190.0,126.0,407.4,513.8
89,3.0061,312.3,451.1,190.0,126.0,407.3,514.1
90,3.0399,312.3,451.4,190.0,126.0,407.3,514.4
91,3.0737,312.2,451.7,190.0,126.0,407.2,514.7
92,3.1074,314.2,453.4,186.0,123.0,407.2,514.9
93,3.1412,312.2,452.2,190.0,126.0,407.2,515.2
94,3.1750,310.2,451.5,194.0,128.0,407.2,515.5
95,3.2088,312.1,452.8,190.0,126.0,407.1,515.8
96,3.2425,312.1,453.1,190.0,126.0,407.1,516.1
97,3.2763,314.1,454.9,186.0,123.0,407.1,516.4
98,3.3101,314.1,455.3,186.0,123.0,407.1,516.8
99,3.3439,314.0,455.7,186.0,123.0,407.0,517.2
100,3.3776,314.0,456.1,186.0,123.0,407.0,517.6
101,3.4114,312.0,455.0,190.0,126.0,407.0,518.0
102,3.4452,314.1,456.9,186.0,123.0,407.1,518.4
103,3.4790,314.0,457.4,186.0,123.0,407.0,518.9
104,3.5127,310.0,455.4,194.0,128.0,407.0,519.4
105,3.5465,309.9,455.8,194.0,128.0,406.9,519.8
106,3.5803,307.7,454.8,198.0,131.0,406.7,520.3
107,3.6141,307.6,455.2,198.0,131.0,406.6,520.7
108,3.6479,305.3,454.7,202.0,133.0,406.3,521.2
109,3.6816,303.0,453.6,206.0,136.0,406.0,521.6
110,3.7154,302.7,453.9,206.0,136.0,405.7,521.9
111,3.7492,300.3,452.8,210.0,139.0,405.3,522.3
112,3.7830,299.9,453.1,210.0,139.0,404.9,522.6
113,3.8167,299.5,453.4,210.0,139.0,404.5,522.9
114,3.8505,298.9,453.6,210.0,139.0,403.9,523.1
115,3.8843,298.3,453.8,210.0,139.0,403.3,523.3
116,3.9181,297.7,454.0,210.0,139.0,402.7,523.5
117,3.9518,297.1,454.2,210.0,139.0,402.1,523.7
118,3.9856,294.5,453.3,214.0,141.0,401.5,523.8
119,4.0194,293.9,453.4,214.0,141.0,400.9,523.9
120,4.0532,293.2,453.6,214.0,141.0,400.2,524.1
121,4.0869,292.5,453.6,214.0,141.0,399.5,524.1
122,4.1207,293.8,454.7,210.0,139.0,398.8,524.2
123,4.1545,291.0,453.7,214.0,141.0,398.0,524.2
124,4.1883,288.3,452.3,218.0,144.0,397.3,524.3
125,4.2221,285.1,450.8,223.0,147.0,396.6,524.3
126,4.2558,284.4,450.8,223.0,147.0,395.9,524.3
127,4.2896,283.7,450.8,223.0,147.0,395.2,524.3
128,4.3234,285.5,452.3,218.0,144.0,394.5,524.3
