frame,time_s,x,y,w,h,cx,cy
102,3.4000,82.0,-32.3,134.0,329.0,149.0,132.2
103,3.4333,89.6,-40.6,134.0,329.0,156.6,123.9
104,3.4667,97.1,-48.6,134.0,329.0,164.1,115.9
105,3.5000,104.8,-56.3,134.0,329.0,171.8,108.2
106,3.5333,112.1,-63.3,134.0,329.0,179.1,101.2
107,3.5667,119.3,-70.0,134.0,329.0,186.3,94.5
108,3.6000,126.2,-76.3,134.0,329.0,193.2,88.2
109,3.6333,132.9,-82.8,134.0,329.0,199.9,81.7
110,3.6667,139.4,-89.1,134.0,329.0,206.4,75.4
111,3.7000,145.7,-95.4,134.0,329.0,212.7,69.1
112,3.7333,151.8,-101.3,134.0,329.0,218.8,63.2
113,3.7667,157.7,-107.1,134.0,329.0,224.7,57.4
114,3.8000,163.5,-112.7,134.0,329.0,230.5,51.8
115,3.8333,169.0,-118.2,134.0,329.0,236.0,46.3
116,3.8667,174.4,-123.3,134.0,329.0,241.4,41.2
117,3.9000,179.6,-128.2,134.0,329.0,246.6,36.3
118,3.9333,184.7,-132.7,134.0,329.0,251.7,31.8
119,3.9667,189.6,-136.7,134.0,329.0,256.6,27.8
120,4.0000,195.4,-137.1,132.0,322.0,261.4,23.9
121,4.0333,200.0,-140.5,132.0,322.0,266.0,20.5
122,4.0667,204.5,-143.8,132.0,322.0,270.5,17.2
123,4.1000,208.9,-146.6,132.0,322.0,274.9,14.4
124,4.1333,213.1,-149.1,132.0,322.0,279.1,11.9
125,4.1667,218.7,-148.4,129.0,316.0,283.2,9.6
126,4.2000,222.7,-150.3,129.0,316.0,287.2,7.7
127,4.2333,226.6,-151.8,129.0,316.0,291.1,6.2
128,4.2667,230.4,-153.2,129.0,316.0,294.9,4.8
129,4.3000,234.0,-154.3,129.0,316.0,298.5,3.7
130,4.3333,237.6,-155.2,129.0,316.0,302.1,2.8
131,4.3667,241.0,-155.8,129.0,316.0,305.5,2.2
132,4.4000,244.3,-156.3,129.0,316.0,308.8,1.7
133,4.4333,246.0,-159.6,132.0,322.0,312.0,1.4
134,4.4667,248.0,-163.3,134.0,329.0,315.0,1.2
135,4.5000,251.1,-163.3,134.0,329.0,318.1,1.2
136,4.5333,253.9,-163.2,134.0,329.0,320.9,1.3
137,4.5667,255.1,-166.0,137.0,335.0,323.6,1.5
138,4.6000,257.8,-165.6,137.0,335.0,326.3,1.9
