frame,time_s,x,y,w,h,cx,cy
0,0.0000,231.0,67.0,105.0,230.0,283.5,182.0
1,0.0334,232.8,69.3,103.0,225.0,284.3,181.8
2,0.0667,231.9,66.0,105.0,230.0,284.4,181.0
3,0.1001,232.1,64.8,105.0,230.0,284.6,179.8
4,0.1335,230.3,59.3,109.0,239.0,284.8,178.8
5,0.1668,229.3,56.6,111.0,244.0,284.8,178.6
6,0.2002,231.1,61.7,107.0,235.0,284.6,179.2
7,0.2336,230.9,62.1,107.0,235.0,284.4,179.6
8,0.2669,230.9,62.5,107.0,235.0,284.4,180.0
9,0.3003,231.1,63.0,107.0,235.0,284.6,180.5
10,0.3337,232.5,65.9,105.0,230.0,285.0,180.9
11,0.3670,232.7,66.1,105.0,230.0,285.2,181.1
12,0.4004,235.2,70.7,101.0,221.0,285.7,181.2
13,0.4338,234.5,68.7,103.0,225.0,286.0,181.2
14,0.4671,234.9,68.8,103.0,225.0,286.4,181.3
15,0.5005,235.3,69.0,103.0,225.0,286.8,181.5
16,0.5339,237.5,73.5,99.0,217.0,287.0,182.0
17,0.5672,239.6,78.5,95.0,208.0,287.1,182.5
18,0.6006,239.3,78.3,95.0,208.0,286.8,182.3
19,0.6340,238.1,75.8,97.0,212.0,286.6,181.8
20,0.6673,238.2,75.2,97.0,212.0,286.7,181.2
21,0.7007,238.0,74.4,97.0,212.0,286.5,180.4
22,0.7341,236.9,71.3,99.0,217.0,286.4,179.8
23,0.7674,237.7,73.4,97.0,212.0,286.2,179.4
24,0.8008,236.6,70.7,99.0,217.0,286.1,179.2
25,0.8342,237.5,73.1,97.0,212.0,286.0,179.1
26,0.8675,237.4,72.9,97.0,212.0,285.9,178.9
27,0.9009,236.4,70.3,99.0,217.0,285.9,178.8
28,0.9343,236.5,70.3,99.0,217.0,286.0,178.8
29,0.9676,237.5,73.0,97.0,212.0,286.0,179.0
30,1.0010,237.7,73.0,97.0,212.0,286.2,179.0
31,1.0344,238.0,73.2,97.0,212.0,286.5,179.2
32,1.0677,238.0,73.5,97.0,212.0,286.5,179.5
33,1.1011,236.1,69.3,101.0,221.0,286.6,179.8
34,1.1345,235.2,67.5,103.0,225.0,286.7,180.0
35,1.1678,235.4,67.6,103.0,225.0,286.9,180.1
36,1.2012,236.8,69.5,101.0,221.0,287.3,180.0
37,1.2346,239.3,73.6,97.0,212.0,287.8,179.6
38,1.2679,239.6,73.2,97.0,212.0,288.1,179.2
39,1.3013,239.7,72.7,97.0,212.0,288.2,178.7
40,1.3347,240.7,74.2,95.0,208.0,288.2,178.2
41,1.3680,240.8,73.7,95.0,208.0,288.3,177.7
42,1.4014,241.8,75.3,93.0,204.0,288.3,177.3
43,1.4348,240.9,72.9,95.0,208.0,288.4,176.9
44,1.4681,241.1,72.6,95.0,208.0,288.6,176.6
45,1.5015,242.4,74.4,93.0,204.0,288.9,176.4
46,1.5349,242.9,74.3,93.0,204.0,289.4,176.3
47,1.5682,244.5,76.4,91.0,200.0,290.0,176.4
48,1.6016,245.1,76.6,91.0,200.0,290.6,176.6
49,1.6350,244.8,75.0,93.0,204.0,291.3,177.0
50,1.6683,246.4,77.4,91.0,200.0,291.9,177.4
51,1.7017,247.5,79.4,90.0,196.0,292.5,177.4
52,1.7351,248.2,79.3,90.0,196.0,293.2,177.3
53,1.7684,248.8,79.1,90.0,196.0,293.8,177.1
54,1.8018,249.3,78.7,90.0,196.0,294.3,176.7
55,1.8352,249.7,78.3,90.0,196.0,294.7,176.3
56,1.8685,251.0,79.9,88.0,192.0,295.0,175.9
57,1.9019,251.3,79.6,88.0,192.0,295.3,175.6
58,1.9353,251.5,79.4,88.0,192.0,295.5,175.4
59,1.9686,252.9,80.7,86.0,189.0,295.9,175.2
60,2.0020,253.3,80.4,86.0,189.0,296.3,174.9
61,2.0354,254.8,82.2,84.0,185.0,296.8,174.7
62,2.0687,254.4,80.0,86.0,189.0,297.4,174.5
63,2.1021,255.1,80.0,86.0,189.0,298.1,174.5
