frame,time_s,x,y,w,h,cx,cy
21,0.8400,-5.5,-62.9,288.0,212.0,138.5,43.1
22,0.8800,83.1,-80.3,288.0,212.0,227.1,25.7
23,0.9200,131.8,-86.0,282.0,208.0,272.8,18.0
24,0.9600,160.9,-88.4,277.0,204.0,299.4,13.6
25,1.0000,178.9,-91.5,277.0,204.0,317.4,10.5
26,1.0400,192.5,-93.8,277.0,204.0,331.0,8.2
27,1.0800,203.5,-95.6,277.0,204.0,342.0,6.4
28,1.1200,215.6,-95.2,271.0,200.0,351.1,4.8
29,1.1600,226.1,-94.6,266.0,196.0,359.1,3.4
30,1.2000,235.7,-93.8,261.0,192.0,366.2,2.2
31,1.2400,241.9,-94.8,261.0,192.0,372.4,1.2
32,1.2800,249.9,-94.1,256.0,189.0,377.9,0.4
33,1.3200,254.5,-94.8,256.0,189.0,382.5,-0.3
34,1.3600,260.9,-93.4,251.0,185.0,386.4,-0.9
35,1.4000,264.3,-93.9,251.0,185.0,389.8,-1.4
36,1.4400,269.6,-92.4,246.0,181.0,392.6,-1.9
37,1.4800,276.9,-89.3,236.0,174.0,394.9,-2.3
38,1.5200,278.6,-89.6,236.0,174.0,396.6,-2.6
39,1.5600,282.2,-88.3,232.0,171.0,398.2,-2.8
40,1.6000,285.7,-86.9,227.0,168.0,399.2,-2.9
41,1.6400,291.1,-83.7,218.0,161.0,400.1,-3.2
42,1.6800,293.7,-82.2,214.0,158.0,400.7,-3.2
43,1.7200,296.1,-80.7,210.0,155.0,401.1,-3.2
44,1.7600,296.4,-80.7,210.0,155.0,401.4,-3.2
45,1.8000,296.6,-80.7,210.0,155.0,401.6,-3.2
46,1.8400,294.7,-82.2,214.0,158.0,401.7,-3.2
47,1.8800,294.7,-82.2,214.0,158.0,401.7,-3.2
48,1.9200,296.6,-80.7,210.0,155.0,401.6,-3.2
49,1.9600,296.5,-80.6,210.0,155.0,401.5,-3.1
50,2.0000,296.4,-80.5,210.0,155.0,401.4,-3.0
51,2.0400,298.2,-79.0,206.0,152.0,401.2,-3.0
52,2.0800,300.0,-77.4,202.0,149.0,401.0,-2.9
53,2.1200,301.8,-75.9,198.0,146.0,400.8,-2.9
