frame,time_s,x,y,w,h,cx,cy
0,0.0000,24.7,208.0,206.0,357.0,127.7,386.5
1,0.0333,22.0,206.0,206.0,357.0,125.0,384.5
2,0.0667,21.1,204.8,206.0,357.0,124.1,383.3
3,0.1000,20.6,203.9,206.0,357.0,123.6,382.4
4,0.1333,20.5,203.1,206.0,357.0,123.5,381.6
5,0.1667,20.2,202.4,206.0,357.0,123.2,380.9
6,0.2000,20.0,201.8,206.0,357.0,123.0,380.3
7,0.2333,19.7,201.2,206.0,357.0,122.7,379.7
8,0.2667,19.2,200.6,206.0,357.0,122.2,379.1
9,0.3000,18.7,200.1,206.0,357.0,121.7,378.6
10,0.3333,20.4,203.1,202.0,350.0,121.4,378.1
11,0.3667,22.0,205.8,198.0,343.0,121.0,377.3
12,0.4000,19.6,201.5,202.0,350.0,120.6,376.5
13,0.4333,21.2,204.3,198.0,343.0,120.2,375.8
14,0.4667,18.5,200.0,202.0,350.0,119.5,375.0
15,0.5000,17.8,199.3,202.0,350.0,118.8,374.3
16,0.5333,19.1,202.0,198.0,343.0,118.1,373.5
17,0.5667,18.3,201.1,198.0,343.0,117.3,372.6
18,0.6000,17.6,200.3,198.0,343.0,116.6,371.8
19,0.6333,16.9,199.6,198.0,343.0,115.9,371.1
20,0.6667,16.0,198.9,198.0,343.0,115.0,370.4
21,0.7000,15.2,198.1,198.0,343.0,114.2,369.6
22,0.7333,14.3,197.4,198.0,343.0,113.3,368.9
23,0.7667,13.4,196.5,198.0,343.0,112.4,368.0
24,0.8000,10.4,192.2,202.0,350.0,111.4,367.2
25,0.8333,11.6,195.0,198.0,343.0,110.6,366.5
26,0.8667,8.7,190.7,202.0,350.0,109.7,365.7
27,0.9000,7.8,189.9,202.0,350.0,108.8,364.9
28,0.9333,4.9,185.6,206.0,357.0,107.9,364.1
29,0.9667,3.8,185.0,206.0,357.0,106.8,363.5
30,1.0000,2.8,184.5,206.0,357.0,105.8,363.0
31,1.0333,1.6,184.0,206.0,357.0,104.6,362.5
32,1.0667,0.4,183.5,206.0,357.0,103.4,362.0
33,1.1000,-0.9,183.0,206.0,357.0,102.1,361.5
34,1.1333,-2.2,182.6,206.0,357.0,100.8,361.1
35,1.1667,-1.7,185.7,202.0,350.0,99.3,360.7
36,1.2000,-5.1,181.7,206.0,357.0,97.9,360.2
37,1.2333,-6.6,181.2,206.0,357.0,96.4,359.7
38,1.2667,-8.0,180.7,206.0,357.0,95.0,359.2
39,1.3000,-9.4,180.1,206.0,357.0,93.6,358.6
40,1.3333,-10.7,179.6,206.0,357.0,92.3,358.1
41,1.3667,-12.1,179.0,206.0,357.0,90.9,357.5
42,1.4000,-13.4,178.3,206.0,357.0,89.6,356.8
43,1.4333,-14.7,177.6,206.0,357.0,88.3,356.1
44,1.4667,-15.9,176.9,206.0,357.0,87.1,355.4
45,1.5000,-17.3,176.1,206.0,357.0,85.7,354.6
46,1.5333,-18.6,175.1,206.0,357.0,84.4,353.6
47,1.5667,-19.9,174.2,206.0,357.0,83.1,352.7
48,1.6000,-21.1,173.2,206.0,357.0,81.9,351.7
