frame,time_s,x,y,w,h,cx,cy
0,0.0000,159.0,154.2,121.0,129.0,219.5,218.7
1,0.0380,159.4,154.5,121.0,129.0,219.9,219.0
2,0.0760,158.6,153.3,123.0,132.0,220.1,219.3
3,0.1141,158.9,153.9,123.0,132.0,220.4,219.9
4,0.1521,159.7,154.5,123.0,132.0,221.2,220.5
5,0.1901,164.3,159.2,116.0,124.0,222.3,221.2
6,0.2281,169.0,163.3,109.0,117.0,223.5,221.8
7,0.2661,170.9,164.6,107.0,115.0,224.4,222.1
8,0.3042,171.4,164.8,107.0,115.0,224.9,222.3
9,0.3422,171.1,164.0,109.0,117.0,225.6,222.5
10,0.3802,170.7,163.1,111.0,120.0,226.2,223.1
11,0.4182,169.8,162.5,114.0,122.0,226.8,223.5
12,0.4563,170.6,163.2,114.0,122.0,227.6,224.2
13,0.4943,170.3,163.1,116.0,124.0,228.3,225.1
14,0.5323,171.2,163.9,116.0,124.0,229.2,225.9
15,0.5703,171.1,163.0,118.0,127.0,230.1,226.5
16,0.6083,172.9,165.0,116.0,124.0,230.9,227.0
17,0.6464,172.9,164.0,118.0,127.0,231.9,227.5
18,0.6844,173.6,164.3,118.0,127.0,232.6,227.8
19,0.7224,173.1,163.7,121.0,129.0,233.6,228.2
20,0.7604,173.8,164.2,121.0,129.0,234.3,228.7
21,0.7984,174.6,164.6,121.0,129.0,235.1,229.1
22,0.8365,174.6,163.8,123.0,132.0,236.1,229.8
23,0.8745,175.1,164.6,123.0,132.0,236.6,230.6
24,0.9125,174.6,163.8,125.0,135.0,237.1,231.3
25,0.9505,173.5,163.4,128.0,137.0,237.5,231.9
26,0.9886,172.3,162.7,131.0,140.0,237.8,232.7
27,1.0266,171.3,161.8,133.0,143.0,237.8,233.3
28,1.0646,171.1,162.4,133.0,143.0,237.6,233.9
29,1.1026,169.7,161.4,136.0,146.0,237.7,234.4
30,1.1406,166.9,158.9,141.0,152.0,237.4,234.9
31,1.1787,166.7,159.3,141.0,152.0,237.2,235.3
32,1.2167,166.6,159.9,141.0,152.0,237.1,235.9
33,1.2547,167.5,162.2,139.0,149.0,237.0,236.7
34,1.2927,166.5,161.5,141.0,152.0,237.0,237.5
35,1.3307,165.0,160.5,144.0,155.0,237.0,238.0
36,1.3688,162.0,158.0,150.0,161.0,237.0,238.5
37,1.4068,160.4,157.0,153.0,164.0,236.9,239.0
38,1.4448,160.1,157.6,153.0,164.0,236.6,239.6
39,1.4828,158.4,156.6,156.0,167.0,236.4,240.1
40,1.5209,158.4,157.3,156.0,167.0,236.4,240.8
41,1.5589,157.0,156.0,159.0,171.0,236.5,241.5
42,1.5969,157.0,156.6,159.0,171.0,236.5,242.1
43,1.6349,157.1,157.2,159.0,171.0,236.6,242.7
44,1.6729,153.6,154.2,166.0,178.0,236.6,243.2
45,1.7110,152.2,153.2,169.0,181.0,236.7,243.7
46,1.7490,152.3,153.8,169.0,181.0,236.8,244.3
