frame,time_s,x,y,w,h,cx,cy
0,0.0000,268.0,185.0,95.0,45.0,315.5,207.5
1,0.0339,268.0,185.0,95.0,45.0,315.5,207.5
2,0.0679,268.3,185.0,95.0,45.0,315.8,207.5
3,0.1018,269.5,185.2,93.0,44.0,316.0,207.2
4,0.1357,270.8,185.5,91.0,43.0,316.3,207.0
5,0.1696,270.0,184.7,93.0,44.0,316.5,206.7
6,0.2036,269.2,184.0,95.0,45.0,316.7,206.5
7,0.2375,270.2,184.4,93.0,44.0,316.7,206.4
8,0.2714,269.0,183.9,95.0,45.0,316.5,206.4
9,0.3054,268.8,183.7,95.0,45.0,316.3,206.2
10,0.3393,268.4,183.6,95.0,45.0,315.9,206.1
11,0.3732,267.9,183.6,95.0,45.0,315.4,206.1
12,0.4071,268.2,184.1,93.0,44.0,314.7,206.1
13,0.4411,266.5,183.6,95.0,45.0,314.0,206.1
14,0.4750,265.8,183.6,95.0,45.0,313.3,206.1
15,0.5089,266.0,184.1,93.0,44.0,312.5,206.1
16,0.5429,264.1,183.6,95.0,45.0,311.6,206.1
17,0.5768,263.3,183.6,95.0,45.0,310.8,206.1
18,0.6107,259.6,182.3,101.0,48.0,310.1,206.3
19,0.6446,261.2,183.7,97.0,46.0,309.7,206.7
20,0.6786,263.5,185.4,91.0,43.0,309.0,206.9
21,0.7125,261.9,185.1,93.0,44.0,308.4,207.1
22,0.7464,260.3,184.9,95.0,45.0,307.8,207.4
23,0.7803,259.8,185.2,95.0,45.0,307.3,207.7
24,0.8143,259.2,185.6,95.0,45.0,306.7,208.1
25,0.8482,258.7,186.0,95.0,45.0,306.2,208.5
26,0.8821,259.3,186.9,93.0,44.0,305.8,208.9
27,0.9161,258.0,186.9,95.0,45.0,305.5,209.4
28,0.9500,257.6,187.3,95.0,45.0,305.1,209.8
29,0.9839,257.3,187.6,95.0,45.0,304.8,210.1
30,1.0178,259.0,188.9,91.0,43.0,304.5,210.4
31,1.0518,258.9,189.0,91.0,43.0,304.4,210.5
32,1.0857,258.8,189.1,91.0,43.0,304.3,210.6
33,1.1196,258.6,189.0,91.0,43.0,304.1,210.5
34,1.1536,259.3,189.3,90.0,42.0,304.3,210.3
35,1.1875,258.2,188.2,93.0,44.0,304.7,210.2
36,1.2214,258.6,188.0,93.0,44.0,305.1,210.0
37,1.2553,258.8,187.7,93.0,44.0,305.3,209.7
38,1.2893,259.1,187.5,93.0,44.0,305.6,209.5
39,1.3232,259.5,187.2,93.0,44.0,306.0,209.2
40,1.3571,260.1,186.9,93.0,44.0,306.6,208.9
41,1.3911,261.7,187.2,91.0,43.0,307.2,208.7
42,1.4250,262.2,186.9,91.0,43.0,307.7,208.4
43,1.4589,262.8,186.5,91.0,43.0,308.3,208.0
44,1.4928,264.0,186.6,90.0,42.0,309.0,207.6
45,1.5268,264.2,185.7,91.0,43.0,309.7,207.2
46,1.5607,265.5,185.5,90.0,42.0,310.5,206.5
47,1.5946,264.6,183.9,93.0,44.0,311.1,205.9
48,1.6286,264.9,183.2,93.0,44.0,311.4,205.2
49,1.6625,265.2,182.5,93.0,44.0,311.7,204.5
50,1.6964,265.5,181.8,93.0,44.0,312.0,203.8
51,1.7303,264.9,180.6,95.0,45.0,312.4,203.1
52,1.7643,265.9,180.4,93.0,44.0,312.4,202.4
53,1.7982,264.6,179.2,95.0,45.0,312.1,201.7
54,1.8321,265.9,179.4,91.0,43.0,311.4,200.9
55,1.8661,266.0,179.1,90.0,42.0,311.0,200.1
56,1.9000,265.3,177.7,91.0,43.0,310.8,199.2
57,1.9339,265.3,176.9,91.0,43.0,310.8,198.4
58,1.9678,263.4,175.3,95.0,45.0,310.9,197.8
59,2.0018,264.2,175.2,93.0,44.0,310.7,197.2
60,2.0357,264.8,175.2,91.0,43.0,310.3,196.7
61,2.0696,264.4,174.7,91.0,43.0,309.9,196.2
62,2.1035,264.6,174.7,90.0,42.0,309.6,195.7
63,2.1375,264.5,174.3,90.0,42.0,309.5,195.3
64,2.1714,263.8,173.4,91.0,43.0,309.3,194.9
65,2.2053,264.3,173.5,90.0,42.0,309.3,194.5
66,2.2393,264.4,173.1,90.0,42.0,309.4,194.1
67,2.2732,264.5,172.7,90.0,42.0,309.5,193.7
68,2.3071,264.7,172.4,90.0,42.0,309.7,193.4
69,2.3410,264.6,171.4,91.0,43.0,310.1,192.9
70,2.3750,265.5,171.4,90.0,42.0,310.5,192.4
71,2.4089,266.0,171.0,90.0,42.0,311.0,192.0
72,2.4428,267.7,170.6,88.0,42.0,311.7,191.6
73,2.4768,268.5,170.1,88.0,42.0,312.5,191.1
74,2.5107,270.3,170.0,86.0,41.0,313.3,190.5
75,2.5446,269.0,169.1,90.0,42.0,314.0,190.1
76,2.5785,269.6,168.6,90.0,42.0,314.6,189.6
77,2.6125,271.3,168.2,88.0,42.0,315.3,189.2
78,2.6464,271.0,167.8,90.0,42.0,316.0,188.8
79,2.6803,272.8,167.4,88.0,42.0,316.8,188.4
80,2.7143,272.5,166.9,90.0,42.0,317.5,187.9
81,2.7482,274.2,166.5,88.0,42.0,318.2,187.5
82,2.7821,276.9,167.1,84.0,40.0,318.9,187.1
83,2.8160,274.8,165.8,90.0,42.0,319.8,186.8
84,2.8500,276.5,165.5,88.0,42.0,320.5,186.5
85,2.8839,276.2,165.2,90.0,42.0,321.2,186.2
86,2.9178,276.9,164.9,90.0,42.0,321.9,185.9
87,2.9518,278.8,164.7,88.0,42.0,322.8,185.7
88,2.9857,280.7,165.1,86.0,41.0,323.7,185.6
89,3.0196,281.5,165.1,86.0,41.0,324.5,185.6
90,3.0535,281.3,164.7,88.0,42.0,325.3,185.7
91,3.0875,283.0,165.3,86.0,41.0,326.0,185.8
92,3.1214,284.7,165.9,84.0,40.0,326.7,185.9
93,3.1553,285.5,166.0,84.0,40.0,327.5,186.0
94,3.1893,285.2,165.5,86.0,41.0,328.2,186.0
95,3.2232,285.8,165.5,86.0,41.0,328.8,186.0
96,3.2571,287.4,166.0,84.0,40.0,329.4,186.0
97,3.2910,286.8,165.4,86.0,41.0,329.8,185.9
98,3.3250,287.3,165.4,86.0,41.0,330.3,185.9
99,3.3589,287.7,165.4,86.0,41.0,330.7,185.9
100,3.3928,289.2,165.8,84.0,40.0,331.2,185.8
101,3.4267,290.2,166.2,83.0,39.0,331.7,185.7
102,3.4607,290.6,166.0,83.0,39.0,332.1,185.5
103,3.4946,292.0,166.4,81.0,38.0,332.5,185.4
104,3.5285,292.4,166.2,81.0,38.0,332.9,185.2
105,3.5625,292.7,166.0,81.0,38.0,333.2,185.0
106,3.5964,292.1,165.3,83.0,39.0,333.6,184.8
107,3.6303,292.4,165.1,83.0,39.0,333.9,184.6
108,3.6642,292.8,164.9,83.0,39.0,334.3,184.4
109,3.6982,293.1,164.8,83.0,39.0,334.6,184.3
110,3.7321,293.4,164.6,83.0,39.0,334.9,184.1
111,3.7660,293.7,164.4,83.0,39.0,335.2,183.9
112,3.8000,294.0,164.3,83.0,39.0,335.5,183.8
113,3.8339,294.2,164.1,83.0,39.0,335.7,183.6
114,3.8678,294.4,164.0,83.0,39.0,335.9,183.5
115,3.9017,295.6,164.4,81.0,38.0,336.1,183.4
116,3.9357,295.8,164.2,81.0,38.0,336.3,183.2
117,3.9696,297.0,164.1,79.0,38.0,336.5,183.1
118,4.0035,297.1,164.0,79.0,38.0,336.6,183.0
119,4.0375,296.2,164.0,81.0,38.0,336.7,183.0
120,4.0714,295.3,163.5,83.0,39.0,336.8,183.0
121,4.1053,295.4,163.5,83.0,39.0,336.9,183.0
122,4.1392,295.0,163.1,84.0,40.0,337.0,183.1
123,4.1732,295.1,163.2,84.0,40.0,337.1,183.2
124,4.2071,295.3,163.3,84.0,40.0,337.3,183.3
125,4.2410,295.5,163.5,84.0,40.0,337.5,183.5
126,4.2750,294.7,163.1,86.0,41.0,337.7,183.6
127,4.3089,293.9,162.9,88.0,42.0,337.9,183.9
128,4.3428,295.1,163.5,86.0,41.0,338.1,184.0
129,4.3767,294.2,163.3,88.0,42.0,338.2,184.3
130,4.4107,294.4,163.5,88.0,42.0,338.4,184.5
131,4.4446,295.4,164.2,86.0,41.0,338.4,184.7
132,4.4785,294.3,164.1,88.0,42.0,338.3,185.1
133,4.5125,295.2,164.9,86.0,41.0,338.2,185.4
134,4.5464,295.0,165.2,86.0,41.0,338.0,185.7
135,4.5803,294.8,165.5,86.0,41.0,337.8,186.0
136,4.6142,294.4,165.9,86.0,41.0,337.4,186.4
137,4.6482,294.1,166.3,86.0,41.0,337.1,186.8
138,4.6821,293.6,166.9,86.0,41.0,336.6,187.4
139,4.7160,293.2,167.6,86.0,41.0,336.2,188.1
140,4.7499,292.8,168.4,86.0,41.0,335.8,188.9
141,4.7839,292.3,169.2,86.0,41.0,335.3,189.7
142,4.8178,291.7,170.1,86.0,41.0,334.7,190.6
143,4.8517,290.1,170.6,88.0,42.0,334.1,191.6
144,4.8857,288.6,171.6,90.0,42.0,333.6,192.6
145,4.9196,287.6,172.2,91.0,43.0,333.1,193.7
146,4.9535,287.1,173.4,91.0,43.0,332.6,194.9
147,4.9874,286.6,174.6,91.0,43.0,332.1,196.1
148,5.0214,285.3,175.3,93.0,44.0,331.8,197.3
149,5.0553,285.0,176.5,93.0,44.0,331.5,198.5
150,5.0892,284.9,177.6,93.0,44.0,331.4,199.6
151,5.1232,283.8,178.1,95.0,45.0,331.3,200.6
152,5.1571,282.7,178.5,97.0,46.0,331.2,201.5
153,5.1910,282.6,179.2,97.0,46.0,331.1,202.2
154,5.2249,282.7,179.9,97.0,46.0,331.2,202.9
155,5.2589,283.7,181.1,95.0,45.0,331.2,203.6
156,5.2928,283.8,181.8,95.0,45.0,331.3,204.3
157,5.3267,283.9,182.4,95.0,45.0,331.4,204.9
158,5.3607,284.1,183.0,95.0,45.0,331.6,205.5
159,5.3946,284.3,183.5,95.0,45.0,331.8,206.0
160,5.4285,284.5,184.0,95.0,45.0,332.0,206.5
161,5.4624,284.5,184.5,95.0,45.0,332.0,207.0
162,5.4964,284.5,185.0,95.0,45.0,332.0,207.5
163,5.5303,284.5,185.5,95.0,45.0,332.0,208.0
164,5.5642,284.5,186.0,95.0,45.0,332.0,208.5
165,5.5982,284.4,186.5,95.0,45.0,331.9,209.0
166,5.6321,284.4,186.9,95.0,45.0,331.9,209.4
167,5.6660,284.4,187.4,95.0,45.0,331.9,209.9
168,5.6999,284.7,187.9,95.0,45.0,332.2,210.4
169,5.7339,284.3,188.0,97.0,46.0,332.8,211.0
170,5.7678,284.9,188.6,97.0,46.0,333.4,211.6
171,5.8017,285.5,189.2,97.0,46.0,334.0,212.2
172,5.8357,286.1,189.8,97.0,46.0,334.6,212.8
173,5.8696,285.7,189.8,99.0,47.0,335.2,213.3
174,5.9035,287.4,190.8,97.0,46.0,335.9,213.8
175,5.9374,287.9,191.1,97.0,46.0,336.4,214.1
176,5.9714,288.4,191.4,97.0,46.0,336.9,214.4
177,6.0053,288.8,191.6,97.0,46.0,337.3,214.6
178,6.0392,289.1,191.7,97.0,46.0,337.6,214.7
179,6.0731,289.3,191.7,97.0,46.0,337.8,214.7
180,6.1071,289.5,191.6,97.0,46.0,338.0,214.6
181,6.1410,289.7,191.5,97.0,46.0,338.2,214.5
182,6.1749,289.9,191.4,97.0,46.0,338.4,214.4
183,6.2089,289.9,191.2,97.0,46.0,338.4,214.2
184,6.2428,290.0,190.9,97.0,46.0,338.5,213.9
185,6.2767,290.0,190.6,97.0,46.0,338.5,213.6
186,6.3106,290.9,190.8,95.0,45.0,338.4,213.3
187,6.3446,290.8,190.5,95.0,45.0,338.3,213.0
188,6.3785,290.6,190.3,95.0,45.0,338.1,212.8
189,6.4124,290.1,190.1,95.0,45.0,337.6,212.6
190,6.4464,289.5,190.0,95.0,45.0,337.0,212.5
191,6.4803,289.1,189.8,95.0,45.0,336.6,212.3
192,6.5142,288.6,189.7,95.0,45.0,336.1,212.2
193,6.5481,288.2,189.5,95.0,45.0,335.7,212.0
194,6.5821,288.0,189.3,95.0,45.0,335.5,211.8
195,6.6160,287.8,188.9,95.0,45.0,335.3,211.4
196,6.6499,286.6,188.0,97.0,46.0,335.1,211.0
197,6.6839,286.4,187.6,97.0,46.0,334.9,210.6
198,6.7178,286.2,187.0,97.0,46.0,334.7,210.0
199,6.7517,286.0,186.4,97.0,46.0,334.5,209.4
200,6.7856,285.7,185.8,97.0,46.0,334.2,208.8
201,6.8196,285.4,185.2,97.0,46.0,333.9,208.2
202,6.8535,285.0,184.6,97.0,46.0,333.5,207.6
203,6.8874,284.6,184.0,97.0,46.0,333.1,207.0
204,6.9214,284.2,183.4,97.0,46.0,332.7,206.4
205,6.9553,283.6,182.8,97.0,46.0,332.1,205.8
206,6.9892,281.9,181.8,99.0,47.0,331.4,205.3
207,7.0231,280.0,180.8,101.0,48.0,330.5,204.8
208,7.0571,279.0,180.3,101.0,48.0,329.5,204.3
209,7.0910,277.9,179.9,101.0,48.0,328.4,203.9
210,7.1249,277.7,180.0,99.0,47.0,327.2,203.5
211,7.1589,276.6,179.5,99.0,47.0,326.1,203.0
212,7.1928,275.5,179.0,99.0,47.0,325.0,202.5
213,7.2267,274.4,178.5,99.0,47.0,323.9,202.0
214,7.2606,273.4,178.1,99.0,47.0,322.9,201.6
215,7.2946,272.5,177.6,99.0,47.0,322.0,201.1
216,7.3285,271.5,177.1,99.0,47.0,321.0,200.6
217,7.3624,270.6,176.7,99.0,47.0,320.1,200.2
218,7.3963,269.9,176.3,99.0,47.0,319.4,199.8
219,7.4303,269.2,175.8,99.0,47.0,318.7,199.3
220,7.4642,268.7,175.3,99.0,47.0,318.2,198.8
221,7.4981,268.1,174.9,99.0,47.0,317.6,198.4
222,7.5321,267.6,174.4,99.0,47.0,317.1,197.9
223,7.5660,267.0,174.0,99.0,47.0,316.5,197.5
224,7.5999,266.5,173.6,99.0,47.0,316.0,197.1
225,7.6338,265.9,173.2,99.0,47.0,315.4,196.7
226,7.6678,265.4,172.8,99.0,47.0,314.9,196.3
227,7.7017,264.9,172.4,99.0,47.0,314.4,195.9
228,7.7356,264.3,172.0,99.0,47.0,313.8,195.5
229,7.7696,263.7,171.7,99.0,47.0,313.2,195.2
230,7.8035,263.1,171.3,99.0,47.0,312.6,194.8
231,7.8374,262.5,170.9,99.0,47.0,312.0,194.4
232,7.8713,261.9,170.4,99.0,47.0,311.4,193.9
233,7.9053,261.2,169.9,99.0,47.0,310.7,193.4
234,7.9392,260.5,169.4,99.0,47.0,310.0,192.9
235,7.9731,259.6,168.8,99.0,47.0,309.1,192.3
236,8.0071,258.7,168.1,99.0,47.0,308.2,191.6
237,8.0410,257.8,167.5,99.0,47.0,307.3,191.0
238,8.0749,256.8,166.8,99.0,47.0,306.3,190.3
239,8.1088,255.7,166.0,99.0,47.0,305.2,189.5
240,8.1428,254.7,165.3,99.0,47.0,304.2,188.8
241,8.1767,253.7,164.4,99.0,47.0,303.2,187.9
242,8.2106,252.7,163.6,99.0,47.0,302.2,187.1
243,8.2446,251.6,162.9,99.0,47.0,301.1,186.4
244,8.2785,250.7,162.2,99.0,47.0,300.2,185.7
245,8.3124,249.8,161.5,99.0,47.0,299.3,185.0
246,8.3463,249.0,160.9,99.0,47.0,298.5,184.4
247,8.3803,248.2,160.4,99.0,47.0,297.7,183.9
248,8.4142,247.5,160.0,99.0,47.0,297.0,183.5
249,8.4481,246.9,159.5,99.0,47.0,296.4,183.0
250,8.4821,245.3,158.7,101.0,48.0,295.8,182.7
251,8.5160,244.7,158.4,101.0,48.0,295.2,182.4
252,8.5499,244.2,158.2,101.0,48.0,294.7,182.2
253,8.5838,243.7,157.9,101.0,48.0,294.2,181.9
254,8.6178,243.3,157.6,101.0,48.0,293.8,181.6
255,8.6517,242.9,157.3,101.0,48.0,293.4,181.3
256,8.6856,242.4,157.0,101.0,48.0,292.9,181.0
257,8.7195,241.9,156.6,101.0,48.0,292.4,180.6
258,8.7535,241.5,156.2,101.0,48.0,292.0,180.2
259,8.7874,241.1,155.7,101.0,48.0,291.6,179.7
260,8.8213,239.8,154.6,103.0,49.0,291.3,179.1
261,8.8553,239.4,154.0,103.0,49.0,290.9,178.5
262,8.8892,240.0,153.8,101.0,48.0,290.5,177.8
263,8.9231,239.7,153.0,101.0,48.0,290.2,177.0
264,8.9570,239.4,152.3,101.0,48.0,289.9,176.3
265,8.9910,239.0,151.6,101.0,48.0,289.5,175.6
266,9.0249,238.8,150.8,101.0,48.0,289.3,174.8
267,9.0588,238.6,150.1,101.0,48.0,289.1,174.1
268,9.0928,238.5,149.4,101.0,48.0,289.0,173.4
269,9.1267,238.2,148.7,101.0,48.0,288.7,172.7
270,9.1606,238.1,148.1,101.0,48.0,288.6,172.1
271,9.1945,238.0,147.4,101.0,48.0,288.5,171.4
272,9.2285,237.9,146.7,101.0,48.0,288.4,170.7
273,9.2624,237.8,146.0,101.0,48.0,288.3,170.0
274,9.2963,237.7,145.4,101.0,48.0,288.2,169.4
275,9.3303,237.6,144.8,101.0,48.0,288.1,168.8
276,9.3642,237.5,144.2,101.0,48.0,288.0,168.2
277,9.3981,238.5,144.1,99.0,47.0,288.0,167.6
278,9.4320,238.4,143.6,99.0,47.0,287.9,167.1
279,9.4660,238.3,143.2,99.0,47.0,287.8,166.7
280,9.4999,238.2,142.8,99.0,47.0,287.7,166.3
281,9.5338,238.0,142.5,99.0,47.0,287.5,166.0
282,9.5678,237.8,142.2,99.0,47.0,287.3,165.7
283,9.6017,238.5,142.5,97.0,46.0,287.0,165.5
284,9.6356,238.4,142.3,97.0,46.0,286.9,165.3
285,9.6695,237.3,141.5,99.0,47.0,286.8,165.0
286,9.7035,236.1,140.7,101.0,48.0,286.6,164.7
287,9.7374,236.5,141.0,99.0,47.0,286.0,164.5
288,9.7713,234.9,140.3,101.0,48.0,285.4,164.3
289,9.8053,234.1,140.1,101.0,48.0,284.6,164.1
290,9.8392,233.2,140.1,101.0,48.0,283.7,164.1
291,9.8731,232.0,140.1,101.0,48.0,282.5,164.1
292,9.9070,229.8,139.6,103.0,49.0,281.3,164.1
293,9.9410,229.7,140.0,101.0,48.0,280.2,164.0
294,9.9749,229.5,140.3,99.0,47.0,279.0,163.8
295,10.0088,228.3,140.1,99.0,47.0,277.8,163.6
296,10.0427,226.2,139.3,101.0,48.0,276.7,163.3
297,10.0767,226.0,139.4,99.0,47.0,275.5,162.9
298,10.1106,225.8,139.5,97.0,46.0,274.3,162.5
299,10.1445,225.7,139.5,95.0,45.0,273.2,162.0
300,10.1785,223.7,138.5,97.0,46.0,272.2,161.5
301,10.2124,221.5,137.6,99.0,47.0,271.0,161.1
302,10.2463,221.1,137.8,97.0,46.0,269.6,160.8
303,10.2802,219.6,137.5,97.0,46.0,268.1,160.5
304,10.3142,218.0,137.3,97.0,46.0,266.5,160.3
305,10.3481,216.4,137.0,97.0,46.0,264.9,160.0
306,10.3820,214.8,136.7,97.0,46.0,263.3,159.7
307,10.4160,213.3,136.3,97.0,46.0,261.8,159.3
308,10.4499,211.9,135.8,97.0,46.0,260.4,158.8
309,10.4838,212.7,136.3,93.0,44.0,259.2,158.3
310,10.5177,209.4,134.9,97.0,46.0,257.9,157.9
311,10.5517,208.3,134.4,97.0,46.0,256.8,157.4
312,10.5856,209.1,134.8,93.0,44.0,255.6,156.8
313,10.6195,207.1,133.7,95.0,45.0,254.6,156.2
314,10.6535,206.1,132.9,95.0,45.0,253.6,155.4
315,10.6874,204.2,131.6,97.0,46.0,252.7,154.6
316,10.7213,205.3,131.8,93.0,44.0,251.8,153.8
317,10.7552,202.6,129.9,97.0,46.0,251.1,152.9
318,10.7892,198.8,127.7,103.0,49.0,250.3,152.2
319,10.8231,196.1,125.9,107.0,51.0,249.6,151.4
320,10.8570,194.5,124.7,109.0,52.0,249.0,150.7
321,10.8910,194.9,124.5,107.0,51.0,248.4,150.0
322,10.9249,193.4,123.3,109.0,52.0,247.9,149.3
323,10.9588,192.1,122.1,111.0,53.0,247.6,148.6
